state,dat_league_name,dat_league_sport,dat_league_id,dat_team_id,dat_team_sport,team_gender,dat_team_name_raw,level_guess,dat_league_url,source,observed_on,verification
WI,Wisconsin,track,115,58092,track,women,Columbus Catholic,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24729,track,men,Conserve,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24730,track,women,Conserve,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24662,track,men,Cornell,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24663,track,women,Cornell,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,80335,track,men,Crandon,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,80336,track,women,Crandon,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,94048,track,men,Cristo Rey Jesuit,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,94049,track,women,Cristo Rey Jesuit,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24731,track,men,Crivitz,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24732,track,women,Crivitz,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24823,track,men,Cuba City,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
